UF,MUNICIPIO,COBERTURA_VACINAL
MA,SERRANO DO MARANHÃO,100.48
MA,BOM JARDIM,100.43
MA,SANTA QUITÉRIA DO MARANHÃO,100.18
MA,PINHEIRO,99.98
MA,CAJARI,99.96
MA,GOVERNADOR NUNES FREIRE,99.95
MA,SÃO BENEDITO DO RIO PRETO,99.72
MA,CAROLINA,99.72
MA,MARACAÇUMÉ,99.65
MA,GODOFREDO VIANA,99.56
MA,CURURUPU,99.11
MA,PERITORÓ,99.09
MA,CHAPADINHA,98.75
MA,MATÕES DO NORTE,98.74
MA,SÃO ROBERTO,98.72
MA,SÃO PEDRO DA ÁGUA BRANCA,98.66
MA,HUMBERTO DE CAMPOS,98.65
MA,SANTA LUZIA,98.55
MA,CAJAPIÓ,98.44
MA,GOVERNADOR EDISON LOBÃO,98.43
MA,PINDARÉ-MIRIM,98.41
MA,PASTOS BONS,98.25
MA,IGARAPÉ GRANDE,98.17
MA,NINA RODRIGUES,97.1
MA,ANAPURUS,97.06
MA,SANTA INÊS,96.95
MA,PAULINO NEVES,96.81
MA,PENALVA,96.74
MA,TASSO FRAGOSO,96.74
MA,OLINDA NOVA DO MARANHÃO,96.66
MA,CAMPESTRE DO MARANHÃO,96.55
MA,BACURI,96.48
MA,SÃO RAIMUNDO DO DOCA BEZERRA,96.31
MA,BEQUIMÃO,95.96
MA,ROSÁRIO,95.79
MA,SÃO JOÃO DOS PATOS,95.66
MA,BURITI BRAVO,95.66
MA,ARAIOSES,95.45
MA,BOA VISTA DO GURUPI,95.13
MA,BREJO DE AREIA,95.09
MA,BELÁGUA,95.05
MA,ITINGA DO MARANHÃO,94.96
MA,MIRADOR,94.96
MA,LAJEADO NOVO,94.84
MA,PRESIDENTE MÉDICI,94.52
MA,PERI MIRIM,94.33
MA,PORTO FRANCO,94.22
MA,PIRAPEMAS,94.11
MA,GUIMARÃES,93.97
MA,DAVINÓPOLIS,93.89
MA,BACABEIRA,93.8
MA,TRIZIDELA DO VALE,93.78
MA,SÃO JOSÉ DE RIBAMAR,93.67
MA,PARAIBANO,93.57
MA,SÃO JOÃO DO SOTER,93.38
MA,BARÃO DE GRAJAÚ,93.34
MA,BURITICUPU,93.06
MA,CACHOEIRA GRANDE,93.03
MA,APICUM-AÇU,92.75
MA,SUCUPIRA DO NORTE,92.71
MA,TURIAÇU,92.61
MA,ARARI,92.58
MA,MARANHÃOZINHO,92.37
MA,ALTO PARNAÍBA,92.35
MA,ARAGUANÃ,92.32
MA,CANTANHEDE,92.32
MA,SÃO LUÍS GONZAGA DO MARANHÃO,92.24
MA,ANAJATUBA,92.06
MA,AFONSO CUNHA,91.97
MA,SANTA HELENA,91.69
MA,FORTUNA,91.69
MA,CÂNDIDO MENDES,91.64
MA,ALTO ALEGRE DO PINDARÉ,91.45
MA,VIANA,91.18
MA,PRESIDENTE JUSCELINO,91.11
MA,PALMEIRÂNDIA,91.02
MA,SÃO FRANCISCO DO MARANHÃO,90.99
MA,BENEDITO LEITE,90.97
MA,MIRINZAL,90.97
MA,URBANO SANTOS,90.85
MA,BACURITUBA,90.69
MA,RAPOSA,90.65
MA,SÃO BENTO,90.41
MA,BOM JESUS DAS SELVAS,90.16
MA,SÃO DOMINGOS DO MARANHÃO,89.95
MA,CENTRO DO GUILHERME,89.39
MA,GRAÇA ARANHA,89.31
MA,FORTALEZA DOS NOGUEIRAS,88.65
MA,PEDRO DO ROSÁRIO,88.55
MA,ITAIPAVA DO GRAJAÚ,88.11
MA,SÃO JOÃO DO CARÚ,86.94
MA,PEDREIRAS,86.8
MA,COLINAS,86.24
MA,COROATÁ,86.02
MA,ESPERANTINÓPOLIS,85.84
MA,LIMA CAMPOS,85.75
MA,VITORINO FREIRE,84.66
MA,VITÓRIA DO MEARIM,83.8
MA,PRESIDENTE SARNEY,83.38
MA,SANTA RITA,83.37
MA,RIACHÃO,83.08
MA,RIBAMAR FIQUENE,82.89
MA,PAÇO DO LUMIAR,82.77
MA,SÃO JOÃO BATISTA,82.49
MA,PARNARAMA,82.2
MA,CODÓ,82.16
MA,GONÇALVES DIAS,82.06
MA,TUFILÂNDIA,81.87
MA,GRAJAÚ,81.72
MA,BELA VISTA DO MARANHÃO,81.64
MA,FEIRA NOVA DO MARANHÃO,81.49
MA,ÁGUA DOCE DO MARANHÃO,81.47
MA,GOVERNADOR LUIZ ROCHA,80.71
MA,SÍTIO NOVO,80.29
MA,SÃO FÉLIX DE BALSAS,80.29
MA,ICATU,80.26
MA,BOM LUGAR,80.17
MA,SANTA LUZIA DO PARUÁ,79.54
MA,SÃO PEDRO DOS CRENTES,79.51
MA,ALTO ALEGRE DO MARANHÃO,79.35
MA,CEDRAL,78.83
MA,SÃO RAIMUNDO DAS MANGABEIRAS,78.63
MA,ALTAMIRA DO MARANHÃO,76.97
MA,PORTO RICO DO MARANHÃO,76.83
MA,BERNARDO DO MEARIM,76.76
MA,SÃO JOSÉ DOS BASÍLIOS,76.06
MA,OLHO D'ÁGUA DAS CUNHÃS,75.72
MA,SANTO ANTÔNIO DOS LOPES,75.71
MA,MARAJÁ DO SENA,75.36
MA,CONCEIÇÃO DO LAGO-AÇU,75.06
MA,JOSELÂNDIA,74.96
MA,SANTO AMARO DO MARANHÃO,74.88
MA,PAULO RAMOS,73.53
MA,PRIMEIRA CRUZ,72.55
MA,PRESIDENTE DUTRA,71.91
MA,AMAPÁ DO MARANHÃO,71.72
MA,CENTRO NOVO DO MARANHÃO,71.23
MA,AXIXÁ,69.81
MA,COELHO NETO,69.6
MA,LORETO,69.46
MA,ALDEIAS ALTAS,69.22
MA,SAMBAÍBA,68.5
MA,TURILÂNDIA,67.8
MA,BARRA DO CORDA,66.8
MA,NOVA IORQUE,66.3
MA,BACABAL,65.25
MA,SATUBINHA,64.38
MA,NOVA COLINAS,63.73
MA,BREJO,62.67
MA,BURITIRANA,62.33
MA,MONÇÃO,62.29
MA,MATA ROMA,60.49
MA,CARUTAPERA,60.18
MA,TIMON,59.37
MA,BALSAS,58.48
MA,TUTÓIA,58.42
MA,LUÍS DOMINGUES,58.25
MA,FERNANDO FALCÃO,58.2
MA,NOVA OLINDA DO MARANHÃO,58.15
MA,SÃO FRANCISCO DO BREJÃO,58.11
MA,JATOBÁ,56.82
MA,SANTANA DO MARANHÃO,56.15
MA,SÃO JOÃO DO PARAÍSO,55.86
MA,DOM PEDRO,55.48
MA,ALCÂNTARA,53.44
MA,ZÉ DOCA,53.42
MA,TIMBIRAS,53.23
MA,IMPERATRIZ,52.63
MA,JENIPAPO DOS VIEIRAS,51.84
MA,MAGALHÃES DE ALMEIDA,51.73
MA,CAPINZAL DO NORTE,51.11
MA,SÃO MATEUS DO MARANHÃO,50.87
MA,SENADOR ALEXANDRE COSTA,46.63
MA,ESTREITO,45.52
MA,AMARANTE DO MARANHÃO,44.66
MA,SANTA FILOMENA DO MARANHÃO,43.44
MA,SÃO LUÍS,41.5
MA,TUNTUM,41.12
MA,MILAGRES DO MARANHÃO,40.6
MG,CAMPANÁRIO,179.35
MG,SERRA AZUL DE MINAS,165.0
MG,ILICÍNEA,137.73
MG,DELFINÓPOLIS,128.49
MG,PEDRA DOURADA,126.88
MG,UMBURATIBA,124.87
MG,LASSANCE,120.24
MG,ALFREDO VASCONCELOS,118.98
MG,ALVARENGA,117.86
MG,TOLEDO,117.37
MG,MORRO DO PILAR,116.62
MG,PEDRO TEIXEIRA,115.37
MG,MATA VERDE,115.32
MG,PEQUERI,115.27
MG,BRASÍLIA DE MINAS,114.67
MG,DOM JOAQUIM,114.55
MG,DIVINO,114.25
MG,DOURADOQUARA,114.14
MG,CANTAGALO,113.9
MG,BUGRE,113.76
MG,SANTA BÁRBARA DO LESTE,113.55
MG,ITAIPÉ,113.14
MG,DIONÍSIO,112.71
MG,BAEPENDI,110.78
MG,AIURUOCA,110.73
MG,SACRAMENTO,110.63
MG,LONTRA,110.52
MG,SÃO GERALDO DO BAIXIO,109.94
MG,CONQUISTA,109.82
MG,OLÍMPIO NORONHA,109.5
MG,DIOGO DE VASCONCELOS,109.41
MG,BONFIM,109.17
MG,IAPU,108.91
MG,CASCALHO RICO,108.75
MG,SANTO ANTÔNIO DO GRAMA,108.75
MG,SÃO JOÃO DO PACUÍ,108.65
MG,PRADOS,108.56
MG,SARZEDO,107.44
MG,SENADOR MODESTINO GONÇALVES,107.38
MG,JOSÉ GONÇALVES DE MINAS,106.65
MG,NAQUE,106.57
MG,CABECEIRA GRANDE,106.33
MG,SANTA CRUZ DE SALINAS,106.06
MG,LAGOA GRANDE,105.99
MG,MENDES PIMENTEL,105.96
MG,BOM REPOUSO,105.87
MG,NATÉRCIA,105.86
MG,SALINAS,105.37
MG,PLANURA,105.31
MG,QUELUZITO,105.15
MG,PEÇANHA,105.13
MG,CAMPO FLORIDO,104.43
MG,CONGONHAL,104.32
MG,FORTUNA DE MINAS,104.25
MG,BELO VALE,104.23
MG,CONSOLAÇÃO,104.1
MG,SÃO FÉLIX DE MINAS,104.03
MG,ALBERTINA,103.98
MG,MIRAÍ,103.85
MG,OLIVEIRA FORTES,103.77
MG,ENTRE FOLHAS,103.61
MG,COIMBRA,103.26
MG,JAPONVAR,103.13
MG,IPABA,103.02
MG,JUVENÍLIA,102.78
MG,MARIANA,102.7
MG,PAI PEDRO,102.43
MG,CORONEL FABRICIANO,102.43
MG,CARAÍ,102.42
MG,SERRA DO SALITRE,102.34
MG,CRISTÁLIA,102.18
MG,SÃO GONÇALO DO RIO PRETO,102.17
MG,SÃO FRANCISCO DO GLÓRIA,102.17
MG,PRATA,102.15
MG,SÃO JOSÉ DO JACURI,102.11
MG,TURMALINA,101.89
MG,ENGENHEIRO CALDAS,101.82
MG,SÃO TOMÁS DE AQUINO,101.65
MG,SÃO FRANCISCO DE PAULA,101.43
MG,COUTO DE MAGALHÃES DE MINAS,101.42
MG,COLUNA,101.38
MG,CORDISLÂNDIA,101.13
MG,PEDRAS DE MARIA DA CRUZ,101.1
MG,SANTO HIPÓLITO,101.08
MG,CAPELINHA,101.07
MG,SANTANA DO RIACHO,101.05
MG,ESPÍRITO SANTO DO DOURADO,101.04
MG,RAPOSOS,100.93
MG,PEDRA BONITA,100.73
MG,DOM CAVATI,100.66
MG,CRUZÍLIA,100.54
MG,BICAS,100.36
MG,VARGEM ALEGRE,100.36
MG,ANGELÂNDIA,100.32
MG,ORATÓRIOS,100.3
MG,IPUIÚNA,100.29
MG,DELTA,100.15
MG,MOEMA,100.04
MG,SERRA DOS AIMORÉS,100.04
MG,CANAÃ,100.0
MG,ESTRELA DALVA,100.0
MG,OURO VERDE DE MINAS,99.74
MG,DOM BOSCO,99.64
MG,FELIXLÂNDIA,99.63
MG,TRÊS MARIAS,99.19
MG,PARAISÓPOLIS,99.16
MG,ALTO RIO DOCE,99.13
MG,PADRE CARVALHO,99.12
MG,JEQUITIBÁ,99.0
MG,BOM JESUS DO GALHO,98.9
MG,LAGAMAR,98.79
MG,SÃO JOÃO DA LAGOA,98.66
MG,CATUJI,98.56
MG,SIMÃO PEREIRA,98.31
MG,SÃO JOSÉ DA VARGINHA,98.21
MG,DELFIM MOREIRA,98.1
MG,PONTO DOS VOLANTES,98.06
MG,JAPARAÍBA,97.99
MG,GUARACIAMA,97.99
MG,ANTÔNIO DIAS,97.97
MG,PEDRINÓPOLIS,97.95
MG,JECEABA,97.94
MG,ITAMOGI,97.86
MG,GUARANI,97.79
MG,CIPOTÂNEA,97.77
MG,OURO PRETO,97.76
MG,ESMERALDAS,97.73
MG,DATAS,97.71
MG,ITAMBÉ DO MATO DENTRO,97.49
MG,BIAS FORTES,97.47
MG,CARBONITA,97.33
MG,ALVORADA DE MINAS,97.33
MG,SÃO ROMÃO,97.26
MG,TABULEIRO,97.18
MG,SÃO JOÃO NEPOMUCENO,97.17
MG,PIEDADE DOS GERAIS,97.13
MG,ENGENHEIRO NAVARRO,97.13
MG,MORRO DA GARÇA,97.05
MG,MATIAS CARDOSO,97.04
MG,SANTANA DA VARGEM,97.0
MG,FELÍCIO DOS SANTOS,96.97
MG,FRANCISCO SÁ,96.89
MG,COMENDADOR GOMES,96.85
MG,OLHOS-D'ÁGUA,96.72
MG,ITAMBACURI,96.65
MG,RIBEIRÃO DAS NEVES,96.49
MG,ARAXÁ,96.43
MG,VIEIRAS,96.41
MG,ARACITABA,96.1
MG,UBAPORANGA,96.09
MG,CACHOEIRA DE PAJEÚ,96.08
MG,CORAÇÃO DE JESUS,96.05
MG,DIVISÓPOLIS,95.98
MG,PERDIZES,95.91
MG,PIRAJUBA,95.64
MG,MEDEIROS,95.6
MG,PIUMHI,95.55
MG,SANTA RITA DE MINAS,95.48
MG,GUIMARÂNIA,95.47
MG,MURIAÉ,95.41
MG,DONA EUZÉBIA,95.26
MG,GOUVEIA,95.17
MG,MIRADOURO,95.11
MG,CONCEIÇÃO DAS PEDRAS,94.97
MG,CATAS ALTAS,94.91
MG,SANTO ANTÔNIO DO AVENTUREIRO,94.75
MG,PAIVA,94.68
MG,RIO POMBA,94.35
MG,SANTO ANTÔNIO DO RIO ABAIXO,94.32
MG,DIVINÉSIA,94.3
MG,LEME DO PRADO,94.29
MG,ALPERCATA,94.29
MG,ARGIRITA,94.25
MG,CONFINS,94.19
MG,CLARO DOS POÇÕES,94.07
MG,SÃO SEBASTIÃO DA VARGEM ALEGRE,93.94
MG,ARICANDUVA,93.93
MG,MONJOLOS,93.83
MG,TAPARUBA,93.83
MG,ITUIUTABA,93.73
MG,RIO MANSO,93.72
MG,ITUTINGA,93.66
MG,PRESIDENTE KUBITSCHEK,93.61
MG,SANTA HELENA DE MINAS,93.61
MG,CARMO DO PARANAÍBA,93.41
MG,GOIANÁ,93.38
MG,GOIABEIRA,93.25
MG,CACHOEIRA DA PRATA,93.2
MG,BALDIM,93.13
MG,SÃO JOAQUIM DE BICAS,92.98
MG,RIACHINHO,92.97
MG,SÃO SEBASTIÃO DO OESTE,92.86
MG,SENADOR JOSÉ BENTO,92.82
MG,ONÇA DE PITANGUI,92.74
MG,LAGOA DOS PATOS,92.7
MG,RIO DOCE,92.62
MG,SARDOÁ,92.49
MG,SENHORA DOS REMÉDIOS,92.45
MG,IBIRACATU,92.36
MG,SÃO GONÇALO DO ABAETÉ,92.35
MG,CARRANCAS,92.32
MG,PIEDADE DO RIO GRANDE,92.31
MG,BERILO,92.31
MG,ITAMARATI DE MINAS,92.3
MG,ARAPUÁ,92.29
MG,RESENDE COSTA,92.26
MG,FLORESTAL,92.23
MG,BRAÚNAS,92.14
MG,NOVA RESENDE,92.13
MG,MONTALVÂNIA,92.08
MG,TAPIRA,92.06
MG,SOBRÁLIA,92.06
MG,SÃO JOÃO BATISTA DO GLÓRIA,91.98
MG,LAGOA DOURADA,91.95
MG,PRATINHA,91.88
MG,JENIPAPO DE MINAS,91.79
MG,BERIZAL,91.7
MG,DORES DO TURVO,91.57
MG,PALMÓPOLIS,91.52
MG,PRESIDENTE JUSCELINO,91.48
MG,JANUÁRIA,91.46
MG,JACUÍ,91.44
MG,TARUMIRIM,91.41
MG,TOCOS DO MOJI,91.36
MG,SANTA CRUZ DO ESCALVADO,91.35
MG,BOTUMIRIM,91.35
MG,CONCEIÇÃO DE IPANEMA,91.35
MG,SÃO DOMINGOS DO PRATA,91.31
MG,GAMELEIRAS,91.26
MG,DESTERRO DO MELO,91.22
MG,ÁGUA COMPRIDA,91.19
MG,BRASILÂNDIA DE MINAS,91.02
MG,GUARARÁ,90.92
MG,URUCUIA,90.83
MG,VAZANTE,90.8
MG,PIEDADE DE PONTE NOVA,90.73
MG,DESCOBERTO,90.71
MG,NOVO CRUZEIRO,90.6
MG,FARIA LEMOS,90.53
MG,CRISÓLITA,90.5
MG,TIROS,90.5
MG,NACIP RAYDAN,90.49
MG,ARAPORÃ,90.44
MG,SÃO SEBASTIÃO DO ANTA,90.41
MG,FERROS,90.41
MG,SÃO BENTO ABADE,90.4
MG,CRUZEIRO DA FORTALEZA,90.29
MG,SÃO SEBASTIÃO DA BELA VISTA,90.24
MG,AMPARO DO SERRA,90.21
MG,DORESÓPOLIS,90.21
MG,VEREDINHA,90.2
MG,MARMELÓPOLIS,90.2
MG,SÃO JOÃO DA PONTE,90.16
MG,URUANA DE MINAS,90.15
MG,MARAVILHAS,90.15
MG,RIO PARANAÍBA,90.14
MG,BANDEIRA,89.98
MG,FERNANDES TOURINHO,89.79
MG,BELO ORIENTE,89.67
MG,CLARAVAL,89.64
MG,DIVISA ALEGRE,89.55
MG,RUBIM,89.53
MG,SANTA RITA DE CALDAS,89.53
MG,CARLOS CHAGAS,89.48
MG,ROCHEDO DE MINAS,89.41
MG,BOM JESUS DA PENHA,89.26
MG,MUNHOZ,89.23
MG,MATERLÂNDIA,89.16
MG,ALPINÓPOLIS,89.13
MG,CARATINGA,88.7
MG,GALILÉIA,88.62
MG,NAZARENO,88.6
MG,PIRACEMA,88.6
MG,PASSABÉM,88.49
MG,CONCEIÇÃO DO MATO DENTRO,88.48
MG,VARZELÂNDIA,88.44
MG,UBAÍ,88.4
MG,ITAMARANDIBA,88.32
MG,SANTA EFIGÊNIA DE MINAS,88.3
MG,PESCADOR,88.13
MG,CACHOEIRA DOURADA,87.97
MG,CURRAL DE DENTRO,87.96
MG,UBERABA,87.9
MG,SANTANA DO GARAMBÉU,87.89
MG,PIEDADE DE CARATINGA,87.84
MG,ÁGUA BOA,87.82
MG,SÃO GONÇALO DO SAPUCAÍ,87.82
MG,LUMINÁRIAS,87.8
MG,CAJURI,87.66
MG,GONZAGA,87.46
MG,SÃO BRÁS DO SUAÇUÍ,87.12
MG,ICARAÍ DE MINAS,86.96
MG,GUARACIABA,86.91
MG,BANDEIRA DO SUL,86.89
MG,SENADOR AMARAL,86.85
MG,RIBEIRÃO VERMELHO,86.83
MG,MESQUITA,86.78
MG,CHAPADA GAÚCHA,86.76
MG,ÁGUAS VERMELHAS,86.51
MG,SÃO DOMINGOS DAS DORES,86.5
MG,RIO PARDO DE MINAS,86.48
MG,CONCEIÇÃO DA BARRA DE MINAS,86.47
MG,NATALÂNDIA,86.37
MG,PRESIDENTE OLEGÁRIO,86.33
MG,SÃO PEDRO DO SUAÇUÍ,86.18
MG,BONITO DE MINAS,86.15
MG,ITAJUBÁ,86.09
MG,SERRANOS,86.08
MG,SANTA JULIANA,86.02
MG,CASA GRANDE,85.75
MG,INGAÍ,85.75
MG,SANTO ANTÔNIO DO JACINTO,85.69
MG,ITAOBIM,85.67
MG,CORDISBURGO,85.6
MG,MUZAMBINHO,85.59
MG,CAPUTIRA,85.47
MG,LUISLÂNDIA,85.42
MG,GUIRICEMA,85.38
MG,ALFENAS,85.24
MG,PRESIDENTE BERNARDES,85.16
MG,IPANEMA,85.15
MG,PEDRA DO ANTA,84.96
MG,CAPELA NOVA,84.95
MG,MARIA DA FÉ,84.81
MG,BARRA LONGA,84.8
MG,PAULA CÂNDIDO,84.78
MG,CAIANA,84.65
MG,SEM-PEIXE,84.63
MG,ARAÇAÍ,84.62
MG,CAMBUQUIRA,84.57
MG,CONGONHAS DO NORTE,84.51
MG,SANTANA DE PIRAPAMA,84.49
MG,BUENÓPOLIS,84.46
MG,QUARTEL GERAL,84.45
MG,CHÁCARA,84.4
MG,DOM VIÇOSO,84.34
MG,CARANAÍBA,84.24
MG,ALAGOA,84.19
MG,MONTES CLAROS,83.98
MG,CORONEL PACHECO,83.95
MG,CÓRREGO NOVO,83.94
MG,RIO DO PRADO,83.94
MG,SÃO JOSÉ DA BARRA,83.89
MG,MORADA NOVA DE MINAS,83.88
MG,GRUPIARA,83.85
MG,HELIODORA,83.65
MG,TOMBOS,83.56
MG,MARLIÉRIA,83.54
MG,CRISTIANO OTONI,83.46
MG,CAMPOS GERAIS,83.38
MG,CRUCILÂNDIA,83.32
MG,CEDRO DO ABAETÉ,83.3
MG,PAVÃO,83.26
MG,LIMEIRA DO OESTE,83.04
MG,SANTO ANTÔNIO DO ITAMBÉ,82.9
MG,CORONEL XAVIER CHAVES,82.79
MG,VARGEM BONITA,82.48
MG,MATUTINA,82.43
MG,SÃO GONÇALO DO RIO ABAIXO,82.43
MG,SÃO SEBASTIÃO DO MARANHÃO,82.41
MG,PAULISTAS,82.36
MG,MERCÊS,82.31
MG,CAMACHO,82.17
MG,CAMPO AZUL,82.16
MG,SÃO SEBASTIÃO DO RIO PRETO,82.09
MG,TOCANTINS,81.95
MG,MONTE AZUL,81.9
MG,SÃO TOMÉ DAS LETRAS,81.83
MG,OLARIA,81.77
MG,CANÁPOLIS,81.76
MG,PINGO D'ÁGUA,81.61
MG,GONÇALVES,81.6
MG,SILVEIRÂNIA,81.6
MG,ASTOLFO DUTRA,81.5
MG,FORTALEZA DE MINAS,81.41
MG,PASSA VINTE,81.33
MG,ANTÔNIO PRADO DE MINAS,81.33
MG,GUARDA-MOR,81.17
MG,MONTE BELO,81.15
MG,CARMÉSIA,81.15
MG,RESSAQUINHA,81.11
MG,SANTA RITA DE IBITIPOCA,81.03
MG,LARANJAL,81.03
MG,PARAOPEBA,81.02
MG,SENADOR FIRMINO,80.95
MG,COMERCINHO,80.86
MG,VIRGINÓPOLIS,80.85
MG,CATUTI,80.85
MG,NOVA ERA,80.84
MG,BOM SUCESSO,80.68
MG,SÃO JOÃO DO MANTENINHA,80.57
MG,MAR DE ESPANHA,80.57
MG,PAINEIRAS,80.54
MG,SANTO ANTÔNIO DO MONTE,80.4
MG,SÃO JOSÉ DO GOIABAL,80.34
MG,RAUL SOARES,80.33
MG,LUISBURGO,80.32
MG,EXTREMA,80.12
MG,PIAU,80.09
MG,BRÁS PIRES,80.06
MG,PIRANGUÇU,80.05
MG,CONCEIÇÃO DA APARECIDA,79.99
MG,ITATIAIUÇU,79.74
MG,AUGUSTO DE LIMA,79.69
MG,ITAPEVA,79.63
MG,SENHORA DE OLIVEIRA,79.54
MG,VARJÃO DE MINAS,79.4
MG,POUSO ALTO,79.36
MG,SERRO,79.29
MG,LAMIM,79.27
MG,SANTA RITA DE JACUTINGA,79.15
MG,SANTA MARGARIDA,79.11
MG,CAPIM BRANCO,79.06
MG,SENADOR CORTES,79.02
MG,RIACHO DOS MACHADOS,79.01
MG,ITABIRINHA,79.0
MG,JOANÉSIA,78.98
MG,ARAÚJOS,78.94
MG,RIO CASCA,78.9
MG,MONSENHOR PAULO,78.88
MG,CABO VERDE,78.81
MG,MEDINA,78.6
MG,SÃO JOÃO DO PARAÍSO,78.5
MG,RIO VERMELHO,78.47
MG,SANTA BÁRBARA DO TUGÚRIO,78.42
MG,ESTIVA,78.38
MG,ORIZÂNIA,78.32
MG,PATIS,78.25
MG,FREI LAGONEGRO,78.24
MG,LIMA DUARTE,78.22
MG,PATROCÍNIO DO MURIAÉ,78.05
MG,PRUDENTE DE MORAIS,77.91
MG,INIMUTABA,77.89
MG,CAREAÇU,77.83
MG,SABINÓPOLIS,77.82
MG,SÃO JOSÉ DO ALEGRE,77.66
MG,SANTA MARIA DE ITABIRA,77.61
MG,VERMELHO NOVO,77.57
MG,DIVINOLÂNDIA DE MINAS,77.47
MG,CANDEIAS,77.44
MG,IBERTIOGA,77.39
MG,SANTA RITA DO ITUETO,77.32
MG,SÃO PEDRO DOS FERROS,77.16
MG,SÃO JOSÉ DO DIVINO,77.08
MG,CÔNEGO MARINHO,77.03
MG,GUANHÃES,76.99
MG,SÃO JOÃO DO ORIENTE,76.95
MG,IBITIÚRA DE MINAS,76.94
MG,CAMANDUCAIA,76.93
MG,SILVIANÓPOLIS,76.79
MG,BRAZÓPOLIS,76.69
MG,EWBANK DA CÂMARA,76.56
MG,IBIAÍ,76.4
MG,MINDURI,76.24
MG,CAETÉ,76.17
MG,BONFINÓPOLIS DE MINAS,76.1
MG,ITANHOMI,76.05
MG,ITUETA,76.05
MG,BORDA DA MATA,75.91
MG,CAPETINGA,75.87
MG,VIRGOLÂNDIA,75.83
MG,VOLTA GRANDE,75.8
MG,FUNILÂNDIA,75.78
MG,LAGOA FORMOSA,75.73
MG,TIRADENTES,75.55
MG,FORMOSO,75.47
MG,IPIAÇU,75.43
MG,NOVA BELÉM,75.37
MG,MATO VERDE,75.23
MG,CENTRAL DE MINAS,75.12
MG,ITAPAGIPE,75.04
MG,GUAPÉ,74.83
MG,PIRANGUINHO,74.77
MG,ITAGUARA,74.67
MG,AGUANIL,74.49
MG,MACHACALIS,74.46
MG,DOM SILVÉRIO,74.35
MG,BOM JESUS DO AMPARO,74.32
MG,BIQUINHAS,74.3
MG,INHAÚMA,74.26
MG,PIRANGA,74.24
MG,ARAPONGA,74.11
MG,VARGEM GRANDE DO RIO PARDO,74.01
MG,PONTO CHIQUE,74.0
MG,ITAVERAVA,73.81
MG,ELÓI MENDES,73.8
MG,FERVEDOURO,73.8
MG,NOVORIZONTE,73.75
MG,SETE LAGOAS,73.7
MG,CARMO DA CACHOEIRA,73.62
MG,PASSA TEMPO,73.53
MG,LAMBARI,73.48
MG,SAPUCAÍ-MIRIM,73.43
MG,SANTA MARIA DO SALTO,73.41
MG,ACAIACA,73.34
MG,MOEDA,73.34
MG,INDIANÓPOLIS,73.33
MG,MONTE FORMOSO,73.19
MG,MINAS NOVAS,73.19
MG,CAPITÃO ENÉAS,73.08
MG,MANGA,72.96
MG,CURVELO,72.94
MG,SÃO PEDRO DA UNIÃO,72.82
MG,BOCAIÚVA,72.81
MG,CACHOEIRA DE MINAS,72.73
MG,ANTÔNIO CARLOS,72.63
MG,TEIXEIRAS,72.47
MG,POMPÉU,72.46
MG,CATAS ALTAS DA NORUEGA,72.43
MG,PEDRA DO INDAIÁ,72.38
MG,INHAPIM,72.35
MG,SANTA BÁRBARA,72.28
MG,CORINTO,72.26
MG,SÃO JOÃO DA MATA,72.16
MG,PIRAÚBA,71.95
MG,ARANTINA,71.93
MG,WENCESLAU BRAZ,71.88
MG,JOAQUIM FELÍCIO,71.8
MG,SERICITA,71.8
MG,SANTANA DO PARAÍSO,71.78
MG,MATEUS LEME,71.75
MG,CARNEIRINHO,71.66
MG,COROACI,71.6
MG,DIVINÓPOLIS,71.55
MG,LEOPOLDINA,71.5
MG,ABAETÉ,71.5
MG,INDAIABIRA,71.49
MG,MAMONAS,71.48
MG,ARINOS,71.43
MG,MONTEZUMA,71.18
MG,SABARÁ,71.09
MG,IBIRACI,71.07
MG,BRUMADINHO,71.06
MG,ALVINÓPOLIS,71.0
MG,LIBERDADE,70.95
MG,IBITURUNA,70.84
MG,ALTO JEQUITIBÁ,70.79
MG,ITAÚNA,70.78
MG,IGARATINGA,70.76
MG,NOVA UNIÃO,70.72
MG,SANTANA DO DESERTO,70.55
MG,PAPAGAIOS,70.49
MG,PARAGUAÇU,70.36
MG,SERRANIA,70.18
MG,POCRANE,70.12
MG,FRUTA DE LEITE,70.1
MG,ARCEBURGO,70.0
MG,GLAUCILÂNDIA,69.97
MG,DORES DE GUANHÃES,69.96
MG,CONSELHEIRO LAFAIETE,69.81
MG,CRISTINA,69.77
MG,LADAINHA,69.75
MG,ITACAMBIRA,69.7
MG,RIO PIRACICABA,69.66
MG,PINTÓPOLIS,69.32
MG,NOVA PORTEIRINHA,69.31
MG,MIRAVÂNIA,69.25
MG,DESTERRO DE ENTRE RIOS,69.22
MG,JAMPRUCA,69.17
MG,SENHORA DO PORTO,69.17
MG,CARANDAÍ,69.11
MG,SÃO ROQUE DE MINAS,69.08
MG,CATAGUASES,69.06
MG,TRÊS CORAÇÕES,69.04
MG,BARÃO DE MONTE ALTO,68.98
MG,DORES DO INDAIÁ,68.92
MG,MANHUAÇU,68.89
MG,OURO BRANCO,68.87
MG,PARÁ DE MINAS,68.85
MG,SÃO TIAGO,68.81
MG,SÃO GERALDO DA PIEDADE,68.78
MG,PORTEIRINHA,68.66
MG,LUZ,68.65
